seed,round,station,method,episode,epsilon,reward
11,5,commuter,local_q,19,0.52488,-101.38746858230004
11,5,commuter,pooled_q,19,0.52488,-103.19496858230005
11,5,mixed_use,federated_q,16,0.52488,-92.07149737307397
11,5,mixed_use,local_q,16,0.52488,-104.67398780055282
11,5,mixed_use,pooled_q,16,0.52488,-90.38297600051318
11,5,mixed_use,federated_q,17,0.52488,-107.98014145174585
11,5,mixed_use,local_q,17,0.52488,-113.28968283134917
11,5,mixed_use,pooled_q,17,0.52488,-107.68781179790109
11,5,mixed_use,federated_q,18,0.52488,-107.5066904131508
11,5,mixed_use,local_q,18,0.52488,-106.35359081620533
11,5,mixed_use,pooled_q,18,0.52488,-110.07596352919161
11,5,mixed_use,federated_q,19,0.52488,-88.0054815513521
11,5,mixed_use,local_q,19,0.52488,-81.3847527359454
11,5,mixed_use,pooled_q,19,0.52488,-84.88592859269927
11,6,campus,federated_q,20,0.4723920000000001,-39.92427613670765
11,6,campus,local_q,20,0.4723920000000001,-48.740696186850386
11,6,campus,pooled_q,20,0.4723920000000001,-44.19924025821378
11,6,campus,federated_q,21,0.4723920000000001,-29.35942729811621
11,6,campus,local_q,21,0.4723920000000001,-36.14842531054909
11,6,campus,pooled_q,21,0.4723920000000001,-34.811191819489835
11,6,campus,federated_q,22,0.4723920000000001,-20.16134631313342
11,6,campus,local_q,22,0.4723920000000001,-18.801408800178244
11,6,campus,pooled_q,22,0.4723920000000001,-17.41022992655583
11,6,campus,federated_q,23,0.4723920000000001,-36.9630913349563
11,6,campus,local_q,23,0.4723920000000001,-38.95343422588713
11,6,campus,pooled_q,23,0.4723920000000001,-32.6367867320266
11,6,commuter,federated_q,20,0.4723920000000001,-89.59132263547038
11,6,commuter,local_q,20,0.4723920000000001,-100.0997092263864
11,6,commuter,pooled_q,20,0.4723920000000001,-89.56132263547036
11,6,commuter,federated_q,21,0.4723920000000001,-85.87290980112546
11,6,commuter,local_q,21,0.4723920000000001,-96.5461140419552
11,6,commuter,pooled_q,21,0.4723920000000001,-89.32727429727365
11,6,commuter,federated_q,22,0.4723920000000001,-120.47249661734288
11,6,commuter,local_q,22,0.4723920000000001,-127.71749661734293
11,6,commuter,pooled_q,22,0.4723920000000001,-124.0274966173429
11,6,commuter,federated_q,23,0.4723920000000001,-107.72647551791798
11,6,commuter,local_q,23,0.4723920000000001,-108.251475517918
11,6,commuter,pooled_q,23,0.4723920000000001,-95.49397551791797
11,6,mixed_use,federated_q,20,0.4723920000000001,-89.46705953184609
11,6,mixed_use,local_q,20,0.4723920000000001,-90.03671967556973
11,6,mixed_use,pooled_q,20,0.4723920000000001,-90.00971920963569
11,6,mixed_use,federated_q,21,0.4723920000000001,-106.77366111482098
11,6,mixed_use,local_q,21,0.4723920000000001,-107.77788237717404
11,6,mixed_use,pooled_q,21,0.4723920000000001,-112.70982616778457
11,6,mixed_use,federated_q,22,0.4723920000000001,-101.79072690213575
11,6,mixed_use,local_q,22,0.4723920000000001,-97.94093759812884
11,6,mixed_use,pooled_q,22,0.4723920000000001,-104.19905112726501
11,6,mixed_use,federated_q,23,0.4723920000000001,-98.4274559768279
11,6,mixed_use,local_q,23,0.4723920000000001,-96.90999935973994
11,6,mixed_use,pooled_q,23,0.4723920000000001,-89.6032352717148
11,7,campus,federated_q,24,0.42515280000000005,-36.96042785789535
11,7,campus,local_q,24,0.42515280000000005,-29.127898964589505
11,7,campus,pooled_q,24,0.42515280000000005,-31.83729209153396
11,7,campus,federated_q,25,0.42515280000000005,-12.749468991374446
11,7,campus,local_q,25,0.42515280000000005,-11.94342085420265
11,7,campus,pooled_q,25,0.42515280000000005,-17.580443294749085
11,7,campus,federated_q,26,0.42515280000000005,-12.380391499346894
11,7,campus,local_q,26,0.42515280000000005,-6.16521742529318
11,7,campus,pooled_q,26,0.42515280000000005,-22.083624240001907
11,7,campus,federated_q,27,0.42515280000000005,-19.47467421453724
11,7,campus,local_q,27,0.42515280000000005,-4.700872542095789
11,7,campus,pooled_q,27,0.42515280000000005,-6.716652626773372
11,7,commuter,federated_q,24,0.42515280000000005,-88.36201526273618
11,7,commuter,local_q,24,0.42515280000000005,-100.89620195292291
11,7,commuter,pooled_q,24,0.42515280000000005,-84.7027566423202
11,7,commuter,federated_q,25,0.42515280000000005,-83.8940897531938
11,7,commuter,local_q,25,0.42515280000000005,-81.9515897531938
11,7,commuter,pooled_q,25,0.42515280000000005,-83.75908975319379
11,7,commuter,federated_q,26,0.42515280000000005,-82.23642321635147
11,7,commuter,local_q,26,0.42515280000000005,-82.21445154368864
11,7,commuter,pooled_q,26,0.42515280000000005,-89.36226714468174
11,7,commuter,federated_q,27,0.42515280000000005,-107.2385987993844
11,7,commuter,local_q,27,0.42515280000000005,-89.80859879938438
11,7,commuter,pooled_q,27,0.42515280000000005,-91.8845687376897
11,7,mixed_use,federated_q,24,0.42515280000000005,-99.07620957460172
11,7,mixed_use,local_q,24,0.42515280000000005,-94.16184324048797
11,7,mixed_use,pooled_q,24,0.42515280000000005,-80.57847005733686
11,7,mixed_use,federated_q,25,0.42515280000000005,-101.28301695851933
11,7,mixed_use,local_q,25,0.42515280000000005,-98.44641439029077
11,7,mixed_use,pooled_q,25,0.42515280000000005,-96.23211070650491
11,7,mixed_use,federated_q,26,0.42515280000000005,-116.18401952792084
11,7,mixed_use,local_q,26,0.42515280000000005,-116.37260755861476
11,7,mixed_use,pooled_q,26,0.42515280000000005,-108.26879671238993
11,7,mixed_use,federated_q,27,0.42515280000000005,-88.77165921927683
11,7,mixed_use,local_q,27,0.42515280000000005,-98.35142753999499
11,7,mixed_use,pooled_q,27,0.42515280000000005,-82.11361146974119
11,8,campus,federated_q,28,0.38263752000000006,-34.15135460589559
11,8,campus,local_q,28,0.38263752000000006,-25.499586901484374
11,8,campus,pooled_q,28,0.38263752000000006,-29.359218929764825
11,8,campus,federated_q,29,0.38263752000000006,-37.09724932391388
11,8,campus,local_q,29,0.38263752000000006,-13.293426538260357
11,8,campus,pooled_q,29,0.38263752000000006,-36.5901300462629
11,8,campus,federated_q,30,0.38263752000000006,-24.05446050750208
11,8,campus,local_q,30,0.38263752000000006,-24.01402277467415
11,8,campus,pooled_q,30,0.38263752000000006,-56.57455859607955
11,8,campus,federated_q,31,0.38263752000000006,-21.019135422955348
11,8,campus,local_q,31,0.38263752000000006,-20.127148454438604
11,8,campus,pooled_q,31,0.38263752000000006,-13.049167965438818
11,8,commuter,federated_q,28,0.38263752000000006,-74.56060319543887
11,8,commuter,local_q,28,0.38263752000000006,-76.43263570513466
11,8,commuter,pooled_q,28,0.38263752000000006,-98.8881111888642
11,8,commuter,federated_q,29,0.38263752000000006,-102.31041330751484
11,8,commuter,local_q,29,0.38263752000000006,-107.61025733221572
11,8,commuter,pooled_q,29,0.38263752000000006,-108.48473479398392
11,8,commuter,federated_q,30,0.38263752000000006,-97.30924932014497
11,8,commuter,local_q,30,0.38263752000000006,-99.48051802546274
11,8,commuter,pooled_q,30,0.38263752000000006,-115.50512928736916
11,8,commuter,federated_q,31,0.38263752000000006,-91.46065740790763
11,8,commuter,local_q,31,0.38263752000000006,-95.29621349729831
11,8,commuter,pooled_q,31,0.38263752000000006,-107.43758552591632
11,8,mixed_use,federated_q,28,0.38263752000000006,-100.54452479048315
11,8,mixed_use,local_q,28,0.38263752000000006,-103.08378997986017
11,8,mixed_use,pooled_q,28,0.38263752000000006,-105.54260577331863
11,8,mixed_use,federated_q,29,0.38263752000000006,-87.33957658433715
11,8,mixed_use,local_q,29,0.38263752000000006,-116.32657220366696
11,8,mixed_use,pooled_q,29,0.38263752000000006,-91.930669812579
11,8,mixed_use,federated_q,30,0.38263752000000006,-106.38985924122687
11,8,mixed_use,local_q,30,0.38263752000000006,-91.59017553772293
11,8,mixed_use,pooled_q,30,0.38263752000000006,-105.56889417976834
11,8,mixed_use,federated_q,31,0.38263752000000006,-97.11030145052686
11,8,mixed_use,local_q,31,0.38263752000000006,-92.6270816208737
11,8,mixed_use,pooled_q,31,0.38263752000000006,-104.2750399200408
11,9,campus,federated_q,32,0.3443737680000001,-27.57872427268652
11,9,campus,local_q,32,0.3443737680000001,-39.37768284021043
