seed,station,episode,scenario_seed,method,reward,cost_usd,delivered_kwh,unmet_kwh,demand_kwh,fulfillment,completion_rate,solar_fraction,peak_grid_kw
11,campus,3,fedcharge-v1/11/evaluation/0/3,fcfs,-5.57948315946372,2.659231565070661,22.51199950036043,6.3580627736883715,28.870062274048806,0.7797696896759515,0.7,0.3483267624431936,1.5
11,campus,3,fedcharge-v1/11/evaluation/0/3,edf,2.4594668717113937,3.231515755697656,24.23424634472085,4.63581592932795,28.870062274048806,0.839424803267741,0.625,0.323572344299105,1.5
11,campus,3,fedcharge-v1/11/evaluation/0/3,shortest_remaining,-15.97161022790562,2.0701980803008544,20.31576738971809,8.554294884330714,28.870062274048806,0.7036966944120471,0.675,0.36988868936401215,1.5
11,campus,3,fedcharge-v1/11/evaluation/0/3,solar_only,-76.27258958577852,0.0,7.841531902083341,21.028530371965463,28.870062274048806,0.27161465145615793,0.05,1.0,0.0
11,campus,3,fedcharge-v1/11/evaluation/0/3,federated_q,-15.353442521636484,2.705462535198816,20.56645382195151,8.303608452097295,28.870062274048806,0.7123799604837923,0.375,0.3241616118823169,1.5
11,campus,3,fedcharge-v1/11/evaluation/0/3,local_q,-29.30396902157341,1.882183576783452,17.611692730281053,11.258369543767751,28.870062274048806,0.6100330703516403,0.5,0.3785470779968943,1.5
11,campus,3,fedcharge-v1/11/evaluation/0/3,pooled_q,-3.540475406766208,2.694662108392611,22.926887159564323,5.943175114484481,28.870062274048806,0.7941405509254207,0.525,0.34202340018985605,1.5
11,campus,4,fedcharge-v1/11/evaluation/0/4,fcfs,-16.525627245844188,2.7385679268229177,20.90595566224592,8.673253745316797,29.579209407562722,0.7067787165704553,0.525,0.2999509882285652,1.5000000000000002
11,campus,4,fedcharge-v1/11/evaluation/0/4,edf,-9.29639101240528,3.2753941991879145,22.4591681634067,7.120041244156016,29.579209407562722,0.7592889943050476,0.425,0.2811464109083519,1.5000000000000002
11,campus,4,fedcharge-v1/11/evaluation/0/4,shortest_remaining,-21.95459545469874,2.3951432651024804,19.751477088130926,9.827732319431794,29.579209407562722,0.6677486479094648,0.675,0.3190037413875167,1.5
